ID,Group,Diet,Srebp1c,Scd1,Acc1,Fasn,Acly,Acta2,Col1a1,Col3a1,Tgfb1,Timp1,Il1b,Tnf,Arg1,F4/80,Ccl2,Ccr2,Nlrp3,Ahr,Cyp1a2
4151,Ahrfl/flxLysMCre-,WD,1.545628716,0.467800914,1.2782318,0.725201645,0.749233416,1.442777246,0.783935677,1.223926762,1.218216027,0.323505054,1.459243961,2.064645152,1.309186778,1.611611773,1.356567883,3.836247712,2.188520262,1.388530578,0.914097451
3451,Ahrfl/flxLysMCre-,WD,0.674551763,1.924614188,1.153769284,1.281532445,1.420964846,2.000605501,1.165402022,1.41064413,1.109820035,2.349583949,0.621472078,0.455102293,0.933539877,0.572798756,0.641897687,1.173491853,0.800225602,0.718045819,1.11279621
4805,Ahrfl/flxLysMCre+,CH-WD,6.364527573,6.833233301,3.20510563,7.564879738,3.074926025,2.497269511,1.528995093,1.584089997,1.450217377,0.39056161,0.614800348,1.136428247,0.653527195,1.457847169,0.345280581,1.162684929,1.056207402,0.799853498,0.879913844
4813,Ahrfl/flxLysMCre+,CH-WD,3.051988956,4.899134434,1.995496345,2.248881237,0.986850374,2.818186555,1.977369055,1.388039078,1.426438721,0.822460979,0.890074277,0.42076105,0.567786399,0.861465789,1.659304007,1.974246085,0.858512198,1.118577856,0.452894217
8771,Ahrfl/flxLysMCre+,CH-WD,1.527340728,1.859476079,0.552543494,0.427188393,0.220343012,0.566059487,1.028199875,0.669627444,0.683960248,0.671692772,0.592594816,0.272771359,0.519279296,0.869020153,0.179985207,1.065853468,0.731600531,0.824455126,0.69994982
8772,Ahrfl/flxLysMCre+,CH-WD,3.172222384,3.081726701,1.520169774,1.25872278,0.471574464,2.703318338,3.605368968,2.037017981,2.032458313,3.85720077,1.83292791,6.35003454,0.692808998,3.477119382,1.828067289,5.061308755,4.359645436,0.841886377,2.145415788
5001,Ahrfl/flxLysMCre+,CH-WD,3.501719333,2.861835509,2.026903267,2.40699601,0.758270206,1.56712456,1.20997589,1.009588385,1.096170349,0.775379894,2.474546171,1.859128895,0.999444894,1.486982559,1.471279656,2.522740788,0.609006755,1.243411899,0.615944059
5031,Ahrfl/flxLysMCre+,CH-WD,2.712470726,2.30603507,0.88853049,0.993406769,0.398983745,2.052090055,1.450387709,1.698538177,0.668316721,0.50674859,0.742054479,1.618654228,0.763863768,0.866240802,0.31366367,1.060360064,0.463842499,0.651793699,0.946197542
2771,Ahrfl/flxLysMCre+,CH-WD,3.502499495,3.056527051,1.278460804,1.145280911,0.640316433,0.74516018,0.692863329,0.710731079,1.302298871,0.468148922,0.557113729,1.405492442,0.807399061,1.38083863,0.436925674,1.783382579,0.955859957,1.330486756,1.280548345
5512,Ahrfl/flxLysMCre+,CH-WD,1.146639941,0.873373108,0.48025967,0.370330647,0.334414614,1.561029655,1.075656616,0.967613752,0.837182013,0.887235143,0.927218007,0.724358558,0.60002239,1.147624275,0.320243555,1.039768633,0.77524707,1.076949591,1.000237058
